Country,State,District,Year,"Apprentices Enrolled In The Program (UOM:Number), Scaling Factor:1","Training Centers Established For The Program (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,Nicobars,"Financial Year (Apr - Mar), 2021",0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Financial Year (Apr - Mar), 2021",0,0
India,Andaman and Nicobar Islands,South Andamans,"Financial Year (Apr - Mar), 2021",10,2
India,Andhra Pradesh,Ananthapuramu,"Financial Year (Apr - Mar), 2021",574,34
India,Andhra Pradesh,Chittoor,"Financial Year (Apr - Mar), 2021",2287,44
India,Andhra Pradesh,East Godavari,"Financial Year (Apr - Mar), 2021",1393,46
India,Andhra Pradesh,Guntur,"Financial Year (Apr - Mar), 2021",3576,68
India,Andhra Pradesh,Krishna,"Financial Year (Apr - Mar), 2021",1567,33
India,Andhra Pradesh,Kurnool,"Financial Year (Apr - Mar), 2021",2679,67
India,Andhra Pradesh,Prakasam,"Financial Year (Apr - Mar), 2021",243,42
India,Andhra Pradesh,Sri Potti Sriramulu Nellore,"Financial Year (Apr - Mar), 2021",448,17
India,Andhra Pradesh,Srikakulam,"Financial Year (Apr - Mar), 2021",392,7
India,Andhra Pradesh,Visakhapatnam,"Financial Year (Apr - Mar), 2021",3643,48
India,Andhra Pradesh,Vizianagaram,"Financial Year (Apr - Mar), 2021",308,9
India,Andhra Pradesh,West Godavari,"Financial Year (Apr - Mar), 2021",376,17
India,Andhra Pradesh,Y.S.R.,"Financial Year (Apr - Mar), 2021",219,10
India,Arunachal Pradesh,Anjaw,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,Changlang,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,Dibang Valley,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,East Kameng,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,East Siang,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,Kamle,"Financial Year (Apr - Mar), 2021",0,2
India,Arunachal Pradesh,Kra Daadi,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,Kurung Kumey,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,Leparada,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,Lohit,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,Longding,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,Lower Dibang Valley,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,Lower Siang,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,Lower Subansiri,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,Namsai,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,Pakke Kessang,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,Papum Pare,"Financial Year (Apr - Mar), 2021",25,1
India,Arunachal Pradesh,Shi Yomi,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,Siang,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,Tawang,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,Tirap,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,Upper Siang,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,Upper Subansiri,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,West Kameng,"Financial Year (Apr - Mar), 2021",0,0
India,Arunachal Pradesh,West Siang,"Financial Year (Apr - Mar), 2021",0,0
India,Assam,Baksa,"Financial Year (Apr - Mar), 2021",794,36
India,Assam,Barpeta,"Financial Year (Apr - Mar), 2021",1101,53
India,Assam,Biswanath,"Financial Year (Apr - Mar), 2021",26,1
India,Assam,Bongaigaon,"Financial Year (Apr - Mar), 2021",591,4
India,Assam,Cachar,"Financial Year (Apr - Mar), 2021",222,25
India,Assam,Charaideo,"Financial Year (Apr - Mar), 2021",0,2
India,Assam,Chirang,"Financial Year (Apr - Mar), 2021",28,1
India,Assam,Darrang,"Financial Year (Apr - Mar), 2021",652,38
India,Assam,Dhemaji,"Financial Year (Apr - Mar), 2021",150,13
India,Assam,Dhubri,"Financial Year (Apr - Mar), 2021",129,5
India,Assam,Dibrugarh,"Financial Year (Apr - Mar), 2021",1193,5
India,Assam,Dima Hasao,"Financial Year (Apr - Mar), 2021",0,1
India,Assam,Goalpara,"Financial Year (Apr - Mar), 2021",161,6
India,Assam,Golaghat,"Financial Year (Apr - Mar), 2021",697,4
India,Assam,Hailakandi,"Financial Year (Apr - Mar), 2021",98,22
India,Assam,Hojai,"Financial Year (Apr - Mar), 2021",3,0
India,Assam,Jorhat,"Financial Year (Apr - Mar), 2021",89,1
India,Assam,Kamrup,"Financial Year (Apr - Mar), 2021",3391,108
India,Assam,Kamrup Metro,"Financial Year (Apr - Mar), 2021",637,23
India,Assam,Karbi Anglong,"Financial Year (Apr - Mar), 2021",46,0
India,Assam,Karimganj,"Financial Year (Apr - Mar), 2021",141,11
India,Assam,Kokrajhar,"Financial Year (Apr - Mar), 2021",28,1
India,Assam,Lakhimpur,"Financial Year (Apr - Mar), 2021",89,3
India,Assam,Majuli,"Financial Year (Apr - Mar), 2021",19,4
India,Assam,Marigaon,"Financial Year (Apr - Mar), 2021",73,2
India,Assam,Nagaon,"Financial Year (Apr - Mar), 2021",259,5
India,Assam,Nalbari,"Financial Year (Apr - Mar), 2021",2448,39
India,Assam,Sivasagar,"Financial Year (Apr - Mar), 2021",896,5
