Country,State,District,Year,"Enrolled Trainees Under Craftsmen Training Scheme (UOM:Number), Scaling Factor:1","Institutes For Training Under Craftsmen Training Scheme Scheme (UOM:Number), Scaling Factor:1","Seating Capacity Of Training Centers (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,Nicobars,"Financial Year (Apr - Mar), 2021",195,1,312
India,Andaman and Nicobar Islands,North and Middle Andaman,"Financial Year (Apr - Mar), 2021",48,1,68
India,Andaman and Nicobar Islands,South Andamans,"Financial Year (Apr - Mar), 2021",563,2,636
India,Andhra Pradesh,Ananthapuramu,"Financial Year (Apr - Mar), 2021",6076,39,10468
India,Andhra Pradesh,Chittoor,"Financial Year (Apr - Mar), 2021",5841,43,11148
India,Andhra Pradesh,East Godavari,"Financial Year (Apr - Mar), 2021",6748,37,13316
India,Andhra Pradesh,Guntur,"Financial Year (Apr - Mar), 2021",5338,38,8264
India,Andhra Pradesh,Krishna,"Financial Year (Apr - Mar), 2021",4381,35,9140
India,Andhra Pradesh,Kurnool,"Financial Year (Apr - Mar), 2021",5228,36,8632
India,Andhra Pradesh,Prakasam,"Financial Year (Apr - Mar), 2021",7309,50,9984
India,Andhra Pradesh,Sri Potti Sriramulu Nellore,"Financial Year (Apr - Mar), 2021",4556,31,7168
India,Andhra Pradesh,Srikakulam,"Financial Year (Apr - Mar), 2021",6528,26,8280
India,Andhra Pradesh,Visakhapatnam,"Financial Year (Apr - Mar), 2021",12032,67,19900
India,Andhra Pradesh,Vizianagaram,"Financial Year (Apr - Mar), 2021",6539,31,10148
India,Andhra Pradesh,West Godavari,"Financial Year (Apr - Mar), 2021",6698,39,13400
India,Andhra Pradesh,Y.S.R.,"Financial Year (Apr - Mar), 2021",2783,38,9852
India,Arunachal Pradesh,Anjaw,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Changlang,"Financial Year (Apr - Mar), 2021",104,1,240
India,Arunachal Pradesh,Dibang Valley,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,East Kameng,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,East Siang,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Kamle,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Kra Daadi,"Financial Year (Apr - Mar), 2021",0,0,0
India,Arunachal Pradesh,Kurung Kumey,"Financial Year (Apr - Mar), 2021",0,0,0
